7.693252e-02	7.083806e+04	5.847325e+05
8.193252e-02	7.068481e+04	5.712356e+05
8.693252e-02	6.958800e+04	5.578150e+05
9.193252e-02	6.887205e+04	5.483641e+05
9.693252e-02	6.823508e+04	5.315538e+05
1.019325e-01	6.632489e+04	5.155384e+05
1.069325e-01	6.456050e+04	5.034070e+05
1.119325e-01	6.252688e+04	4.903502e+05
1.169325e-01	6.218117e+04	4.830317e+05
1.219325e-01	6.111191e+04	4.716163e+05
1.269325e-01	5.867624e+04	4.580513e+05
1.319325e-01	5.726179e+04	4.461343e+05
1.369325e-01	5.403046e+04	4.180188e+05
1.419325e-01	4.745853e+04	3.705772e+05
1.469325e-01	4.052892e+04	3.208026e+05
1.519325e-01	3.473830e+04	2.792667e+05
1.569325e-01	3.173879e+04	2.582954e+05
1.619325e-01	3.056104e+04	2.480602e+05
1.669325e-01	2.976624e+04	2.386309e+05
1.719325e-01	2.930449e+04	2.307566e+05
1.769325e-01	2.860280e+04	2.211951e+05
1.819325e-01	2.693188e+04	2.113191e+05
1.869325e-01	2.634381e+04	2.085196e+05
1.919325e-01	2.597773e+04	2.053601e+05
1.969325e-01	2.553186e+04	2.008439e+05
2.019325e-01	2.560351e+04	2.009841e+05
2.069325e-01	2.569448e+04	2.015521e+05
2.119325e-01	2.606248e+04	2.028390e+05
2.169325e-01	2.621819e+04	2.037385e+05
2.219325e-01	2.628253e+04	2.055679e+05
2.269325e-01	2.629743e+04	2.048970e+05
2.319325e-01	2.635659e+04	2.043742e+05
2.369325e-01	2.625794e+04	2.026798e+05
2.419325e-01	2.562804e+04	1.996388e+05
2.469325e-01	2.568193e+04	1.973958e+05
2.519325e-01	2.568132e+04	1.942389e+05
2.569325e-01	2.449272e+04	1.876023e+05
2.619325e-01	2.391937e+04	1.831486e+05
2.669325e-01	2.276692e+04	1.720459e+05
2.719325e-01	2.033365e+04	1.534128e+05
2.769325e-01	1.703306e+04	1.287981e+05
2.819325e-01	1.255217e+04	9.532108e+04
2.869325e-01	7.942157e+03	6.046990e+04
2.919325e-01	4.212843e+03	3.258556e+04
2.969325e-01	2.193984e+03	1.817918e+04
3.019325e-01	1.580242e+03	1.434797e+04
3.069325e-01	2.235014e+03	1.782821e+04
3.119325e-01	3.163083e+03	2.367487e+04
3.169325e-01	3.951564e+03	2.933231e+04
3.219325e-01	4.594199e+03	3.315533e+04
3.269325e-01	4.798062e+03	3.461307e+04
3.319325e-01	4.585544e+03	3.407795e+04
3.369325e-01	4.328913e+03	3.152359e+04
3.419325e-01	3.734340e+03	2.722589e+04
3.469325e-01	3.108966e+03	2.279890e+04
3.519325e-01	2.359857e+03	1.743732e+04
3.569325e-01	1.731025e+03	1.283731e+04
3.619325e-01	1.142061e+03	8.498229e+03
3.669325e-01	6.280869e+02	5.106323e+03
3.719325e-01	3.526858e+02	3.202204e+03
3.769325e-01	1.739089e+02	2.266810e+03
3.819325e-01	1.505277e+02	1.962048e+03
3.869325e-01	2.206545e+02	2.082227e+03
3.919325e-01	3.949626e+02	2.943504e+03
3.969325e-01	5.636824e+02	4.068154e+03
4.019325e-01	7.376924e+02	5.262189e+03
4.069325e-01	8.914769e+02	6.302291e+03
4.119325e-01	1.014497e+03	6.925778e+03
4.169325e-01	1.069870e+03	7.321373e+03
4.219325e-01	1.053165e+03	7.355905e+03
4.269325e-01	1.020233e+03	7.212638e+03
4.319325e-01	9.847809e+02	6.762729e+03
4.369325e-01	9.206961e+02	6.162513e+03
4.419325e-01	7.760975e+02	5.288650e+03
4.469325e-01	6.711900e+02	4.573367e+03
4.519325e-01	5.643231e+02	3.816825e+03
4.569325e-01	4.006642e+02	2.801699e+03
4.619325e-01	3.222338e+02	2.129697e+03
4.669325e-01	2.191891e+02	1.531436e+03
4.719325e-01	1.395563e+02	9.473714e+02
4.769325e-01	9.331885e+01	7.071921e+02
4.819325e-01	5.017825e+01	3.360353e+02
4.869325e-01	3.201170e+01	1.731921e+02
4.919325e-01	2.258640e+01	1.989466e+02
4.969325e-01	5.782625e+01	4.063715e+02
5.019325e-01	8.500931e+01	6.442940e+02
5.069325e-01	1.271703e+02	8.532602e+02
5.119325e-01	1.557728e+02	1.022102e+03
5.169325e-01	1.857311e+02	1.277523e+03
5.219325e-01	2.326167e+02	1.662026e+03
5.269325e-01	2.586727e+02	1.846236e+03
5.319325e-01	2.817111e+02	1.995679e+03
5.369325e-01	2.861573e+02	2.011805e+03
5.419325e-01	2.841725e+02	1.915613e+03
5.469325e-01	2.850225e+02	1.893001e+03
5.519325e-01	2.380601e+02	1.728395e+03
5.569325e-01	2.194365e+02	1.502191e+03
5.619325e-01	1.966446e+02	1.379754e+03
5.669325e-01	1.591180e+02	1.080531e+03
5.719325e-01	1.304572e+02	8.849660e+02
5.769325e-01	1.103189e+02	8.039359e+02
5.819325e-01	7.393946e+01	4.932536e+02
5.869325e-01	5.382946e+01	3.661805e+02
5.919325e-01	2.927480e+01	1.980706e+02
5.969325e-01	2.447584e+01	2.595359e+02
6.019325e-01	1.561102e+01	2.034813e+02
6.069325e-01	1.698205e+01	7.471257e+01
6.119325e-01	1.389374e+01	1.549005e+02
6.169325e-01	2.146894e+01	1.653707e+02
6.219325e-01	3.535241e+01	2.495261e+02
6.269325e-01	5.041050e+01	3.635965e+02
6.319325e-01	5.809944e+01	3.815805e+02
6.369325e-01	7.604018e+01	4.685265e+02
6.419325e-01	8.442198e+01	5.324690e+02
6.469325e-01	8.191726e+01	6.155455e+02
6.519325e-01	9.544423e+01	7.446625e+02
6.569325e-01	1.046764e+02	7.101330e+02
6.619325e-01	9.487863e+01	7.819736e+02
